4) Use ps command with options to display all active process running on the system



jeeva@JEEVA:~/embedUR$ ps -e
    PID TTY          TIME CMD
      1 ?        00:00:05 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 pool_workqueue_release
      4 ?        00:00:00 kworker/R-rcu_g
      5 ?        00:00:00 kworker/R-rcu_p
      6 ?        00:00:00 kworker/R-slub_
      7 ?        00:00:00 kworker/R-netns
     12 ?        00:00:00 kworker/R-mm_pe
     13 ?        00:00:00 rcu_tasks_kthread
     14 ?        00:00:00 rcu_tasks_rude_kthread
     15 ?        00:00:00 rcu_tasks_trace_kthread
     16 ?        00:00:02 ksoftirqd/0
     17 ?        00:00:00 rcu_preempt
     18 ?        00:00:00 migration/0
     19 ?        00:00:00 idle_inject/0
     20 ?        00:00:00 cpuhp/0
     21 ?        00:00:00 kdevtmpfs
     22 ?        00:00:00 kworker/R-inet_
     24 ?        00:00:00 kauditd
     25 ?        00:00:00 khungtaskd
     26 ?        00:00:00 oom_reaper
     28 ?        00:00:00 kworker/R-write
     29 ?        00:00:00 kcompactd0
     30 ?        00:00:00 ksmd
     31 ?        00:00:00 khugepaged
     32 ?        00:00:00 kworker/R-kinte
     33 ?        00:00:00 kworker/R-kbloc
     34 ?        00:00:00 kworker/R-blkcg
     35 ?        00:00:00 irq/9-acpi
     36 ?        00:00:00 kworker/R-tpm_d
     37 ?        00:00:00 kworker/R-ata_s
     38 ?        00:00:00 kworker/R-md
     39 ?        00:00:00 kworker/R-md_bi
     40 ?        00:00:00 kworker/R-edac-
     41 ?        00:00:00 kworker/R-devfr
     42 ?        00:00:00 watchdogd
     44 ?        00:00:00 kswapd0
     45 ?        00:00:00 ecryptfs-kthread
     46 ?        00:00:00 kworker/R-kthro
     47 ?        00:00:00 kworker/R-acpi_
     48 ?        00:00:00 scsi_eh_0
     49 ?        00:00:00 kworker/R-scsi_
     50 ?        00:00:00 scsi_eh_1
     51 ?        00:00:00 kworker/R-scsi_
     55 ?        00:00:00 kworker/R-mld
     56 ?        00:00:00 kworker/R-ipv6_
     65 ?        00:00:00 kworker/R-kstrp
     67 ?        00:00:00 kworker/u3:0
     80 ?        00:00:00 kworker/R-charg
    132 ?        00:00:00 scsi_eh_2
    133 ?        00:00:00 kworker/R-scsi_
    140 ?        00:00:00 kworker/R-ttm
    202 ?        00:00:00 jbd2/sda2-8
    203 ?        00:00:00 kworker/R-ext4-
    252 ?        00:00:03 systemd-journal
    320 ?        00:00:00 systemd-udevd
    363 ?        00:00:02 systemd-oomd
    365 ?        00:00:01 systemd-resolve
    367 ?        00:00:00 psimon
    377 ?        00:00:00 systemd-timesyn
    548 ?        00:00:00 kworker/R-crypt
    560 ?        00:00:00 avahi-daemon
    562 ?        00:00:02 dbus-daemon
    571 ?        00:00:00 gnome-remote-de
    585 ?        00:00:01 polkitd
